position,id,urn,title,permalink_url,description,duration_ms,duration,created_at,display_date,last_modified,artwork_url,waveform_url,genre,tag_list,license,streamable,embeddable_by,playback_count,likes_count,comment_count,user_id,user_username,user_permalink_url
1,1930148621,soundcloud:tracks:1930148621,"Field Recording Club, Saitama- East Side of Omiya Station (Old Commercial Area 旧中山道)  .WAV",https://soundcloud.com/livingroom-tapes/241006-194708-lumine-rf03-the,"Field Recording Club, Saitama - 01. Omiya Station（Test Upload)

1. 241006-193332 Lumine RF01- The Sound of West side Omiya station (New Developing Area) 
Point : Lumine Roof Top carparking  - overlooking the omiya station west side commercial area - pedestrain deck square and buildings  
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

2. 241006-193953 Lumine RF02- The sounds from an Airduct 
Point : Lumine Roof Top carparking  - outlet / airduct from the platform of shinkansen ballet-train     
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

3. 241006-194708 Lumine RF03- The Sound of East side Omiya Station (Old Town)  
Point : Lumine Roof Top Terrace - overlooking the omiya station eat side - old commercial area / old nakasendo side   
Date 2024.10.06.19:50 
Recorder : Zoom H1 essential (eugen.n)",336339,5:36,2024-10-07T05:39:47Z,2024-10-07T05:39:47Z,2026-06-15T07:38:34Z,https://i1.sndcdn.com/artworks-ag3j9RRcE4zVpRUa-XjukHQ-large.jpg,https://wave.sndcdn.com/eVpFxc4mjefU_m.json,,filedrecording Soundscape,all-rights-reserved,True,all,112,2,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
2,1930148624,soundcloud:tracks:1930148624,"Field Recording Club, Saitama-  a vent / air exhaust at Lumina roof top carpark  .WAV",https://soundcloud.com/livingroom-tapes/241006-193953-lumine-rf02-the,"Field Recording Club, Saitama - 01. Omiya Station（Test Upload)

1. 241006-193332 Lumine RF01- The Sound of West side Omiya station (New Developing Area) 
Point : Lumine Roof Top carparking  - overlooking the omiya station west side commercial area - pedestrain deck square and buildings  
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

2. 241006-193953 Lumine RF02- The sounds from an Airduct 
Point : Lumine Roof Top carparking  - outlet / airduct from the platform of shinkansen ballet-train     
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

3. 241006-194708 Lumine RF03- The Sound of East side Omiya Station (Old Town)  
Point : Lumine Roof Top Terrace - overlooking the omiya station eat side - old commercial area / old nakasendo side   
Date 2024.10.06.19:50 
Recorder : Zoom H1 essential (eugen.n)",186671,3:06,2024-10-07T05:39:48Z,2024-10-07T05:39:48Z,2026-06-15T07:38:18Z,https://i1.sndcdn.com/artworks-ag3j9RRcE4zVpRUa-XjukHQ-large.jpg,https://wave.sndcdn.com/Rpa45UVR3ZS2_m.json,,filedrecording Soundscape,all-rights-reserved,True,all,58,2,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
3,1930148636,soundcloud:tracks:1930148636,"Field Recording Club, Saitama - West Side Omiya Station (New Commercial Area) .WAV",https://soundcloud.com/livingroom-tapes/241006-193332-lumine-rf01-the,"Field Recording Club, Saitama - 01. Omiya Station（Test Upload)

1. 241006-193332 Lumine RF01- The Sound of West side Omiya station (New Developing Area) 
Point : Lumine Roof Top carparking  - overlooking the omiya station west side commercial area - pedestrain deck square and buildings  
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

2. 241006-193953 Lumine RF02- The sounds from an Airduct 
Point : Lumine Roof Top carparking  - outlet / airduct from the platform of shinkansen ballet-train     
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

3. 241006-194708 Lumine RF03- The Sound of East side Omiya Station (Old Town)  
Point : Lumine Roof Top Terrace - overlooking the omiya station eat side - old commercial area / old nakasendo side   
Date 2024.10.06.19:50 
Recorder : Zoom H1 essential (eugen.n)",297654,4:57,2024-10-07T05:39:48Z,2024-10-07T05:39:48Z,2026-06-15T07:37:57Z,https://i1.sndcdn.com/artworks-ag3j9RRcE4zVpRUa-XjukHQ-large.jpg,https://wave.sndcdn.com/n9uy5qxnzn48_m.json,,filedrecording Soundscape,all-rights-reserved,True,all,149,6,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
4,1930148642,soundcloud:tracks:1930148642,"Field Recording Club, Saitama - Xxx Omiya Station East-West Passage .WAV",https://soundcloud.com/livingroom-tapes/241005-xxx-omiya-station,"Field Recording Club, Saitama - 01. Omiya Station（Test Upload)

1. 241006-193332 Lumine RF01- The Sound of West side Omiya station (New Developing Area) 
Point : Lumine Roof Top carparking  - overlooking the omiya station west side commercial area - pedestrain deck square and buildings  
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

2. 241006-193953 Lumine RF02- The sounds from an Airduct 
Point : Lumine Roof Top carparking  - outlet / airduct from the platform of shinkansen ballet-train     
Date 2024.10.06.19:30 
Recorder : Zoom H1 essential (eugen.n)

3. 241006-194708 Lumine RF03- The Sound of East side Omiya Station (Old Town)  
Point : Lumine Roof Top Terrace - overlooking the omiya station eat side - old commercial area / old nakasendo side   
Date 2024.10.06.19:50 
Recorder : Zoom H1 essential (eugen.n)",299781,4:59,2024-10-07T05:39:49Z,2024-10-07T05:39:49Z,2026-06-15T07:38:46Z,https://i1.sndcdn.com/artworks-kOuYPFH99yzGOizI-FdTN7A-large.jpg,https://wave.sndcdn.com/4woHk0mB13Zj_m.json,,filedrecording Soundscape,all-rights-reserved,True,all,55,1,1,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
5,1850629794,soundcloud:tracks:1850629794,100 Soundscape Saitama- Omiya zoo at night さいたま音百景 -夜の大宮公園小動物園,https://soundcloud.com/livingroom-tapes/soundscape-saitama-wav,"Night soundscape of Omiya Park Zoo( Since 1953 ).

A night when the roars of animals echo through the park and city - Soundscape of the small zoo at Omiya park closed gate at night.

大宮公園小動物園の夜音風景",756036,12:36,2024-06-18T03:11:43Z,2024-06-18T03:11:43Z,2026-06-15T07:39:14Z,https://i1.sndcdn.com/artworks-gvAAxcB4MG74dW4S-FDl2IQ-large.jpg,https://wave.sndcdn.com/vPHX5UnvIPdZ_m.json,,,all-rights-reserved,True,all,37,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
6,1849108428,soundcloud:tracks:1849108428,100 Soundscape Saitama- mamenoki a famous meeting spot さいたま音百景-まめの木,https://soundcloud.com/livingroom-tapes/soundscape-saitama,"Soundscape Saitama さいたま音百景
Mamenoki -まめの木　

昔も今も大宮の待ち合わせ場所といえば
”まめの木”　そのオブジェの正式名称は「行きかう・線」
作家：伊藤隆道（1985年9月制作）　大宮駅開業１００年と埼京線開業を記念して制作されたオブジェ

４０年間、大宮の街の発展と幾多の人生ドラマを見届けてきたまめの木、喜怒哀楽の人生交差点、今日は土曜の夕方、悲喜交々これから街にくりだすみんなの新しいドラマが生まれる場所。

音風景の要素：ターミナル駅の喧騒、駅の東口ー西口をつなぐ連絡通路、改札、ルミネ入口、行き交う人、待ち合わせ、交番、駅のアナウンスなど、１日平均利用客数226,249人（全国７位 2022年度JR調べ）",500036,8:20,2024-06-16T13:17:18Z,2024-06-16T13:17:18Z,2026-06-15T07:39:26Z,https://i1.sndcdn.com/artworks-LnksIyAvyq43WAgq-uIBl3Q-large.jpg,https://wave.sndcdn.com/JbSymqjNJq0N_m.json,,,all-rights-reserved,True,all,19,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
7,1850598249,soundcloud:tracks:1850598249,100 Soundscape Saitama - fountain at old kounuma irrigation canals さいたま音百景-鴻沼用水公園噴水,https://soundcloud.com/livingroom-tapes/soundscape-saitama-1,鴻沼用水さいたま市中心部の都市化の進む地域にありながら　複数のJR線をまたぎ荒川～見沼田んぼをつなぐ　一部は素堀り（コンクリートに覆われていない）のまま　かつての灌漑技術が垣間見えるまちの歴史的、自然環境的にも貴重な　現役インフラ　一部は暗渠化,483637,8:03,2024-06-18T02:13:44Z,2024-06-18T02:13:44Z,2026-06-15T07:39:40Z,https://i1.sndcdn.com/artworks-lZYGAwUczg9Yc8MD-lJgp6w-large.jpg,https://wave.sndcdn.com/ibp4xIoKRWeK_m.json,,,all-rights-reserved,True,all,21,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
8,1846457223,soundcloud:tracks:1846457223,100 Soundscape Saitama - hokosugi bridge さいたま音百景-ほこすぎ橋,https://soundcloud.com/livingroom-tapes/001-hokosugi-bridge-100-soundscape-saitama,"100 Soundscape Saitama  さいたま音百景　
Hokosugi-Bridge ほこすぎ橋、さいたま新都心、大宮区　

This is the ""Saitama Soundscape 100"" project, a soundscape that represents Saitama City as conceived by the Saitama Field Recorders' Club.

The album will contain 100 tracks (in the future), with further additional sound sources added as our recordings will be taken at the spots. we dont know how many years will it take to have 100 tracks ... but thank for your support and feel free to follow and comments in our SNS.  Also welcome to Saitama Sound Recording Club, contact us if any interest in our porjects and events. 

さいたまフィールドレコーダーズクラブ発
さいたま市を代表をする音の風景～”さいたま音風景１００”プロジェクト

収録がふえるにつれ随時、音源が追加されていく１００トラック入り（予定）のアルバムになります。何年かかるのか。。応援ご声援お待ちしております。さいたまフィールドレコーダーズクラブの会にご興味がある方はこちらまで連絡をおねがいします。

#fieldrecording #saitama #soundscape",766046,12:46,2024-06-13T13:09:35Z,2024-06-13T13:09:35Z,2026-06-15T07:39:53Z,https://i1.sndcdn.com/artworks-B6EpP1LgMlbSYsIy-Wu5A7w-large.jpg,https://wave.sndcdn.com/AeTgKyT79JRu_m.json,,,all-rights-reserved,True,all,34,0,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
9,2301528179,soundcloud:tracks:2301528179,大圓寺（七里）20260405_NK,https://soundcloud.com/livingroom-tapes/da-yuan-si-qi-li-20260405_nk-1,"大圓寺（七里）20260405_NK
七里駅の三本櫻（七里）20260405_NK
七里駅の三本櫻（七里）20260405_OTO
小御嶽神社（岩槻）20260426_FKD
",66046,1:06,2026-04-13T04:55:05Z,2026-04-13T04:55:05Z,2026-04-13T04:58:23Z,https://i1.sndcdn.com/artworks-8eXzToRHbeIpguvc-QgOcBQ-large.jpg,https://wave.sndcdn.com/Ag1oi78a0f1a_m.json,,,all-rights-reserved,True,all,29,6,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
10,2301528182,soundcloud:tracks:2301528182,七里駅の三本櫻（七里）20260405_NK,https://soundcloud.com/livingroom-tapes/qi-li-yi-nosan-ben-ying-qi-li-20260405_nk-2,"大圓寺（七里）20260405_NK
七里駅の三本櫻（七里）20260405_NK
七里駅の三本櫻（七里）20260405_OTO
小御嶽神社（岩槻）20260426_FKD
",138046,2:18,2026-04-13T04:55:05Z,2026-04-13T04:55:05Z,2026-04-13T04:58:43Z,https://i1.sndcdn.com/artworks-8eXzToRHbeIpguvc-QgOcBQ-large.jpg,https://wave.sndcdn.com/uXKjloU8gf1o_m.json,,,all-rights-reserved,True,all,32,3,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
11,2301528188,soundcloud:tracks:2301528188,小御嶽神社（岩槻）20260426_FKD,https://soundcloud.com/livingroom-tapes/xiao-yu-yue-shen-she-yan-gui-20260426_fkd-4,"大圓寺（七里）20260405_NK
七里駅の三本櫻（七里）20260405_NK
七里駅の三本櫻（七里）20260405_OTO
小御嶽神社（岩槻）20260426_FKD
",181146,3:01,2026-04-13T04:55:05Z,2026-04-13T04:55:05Z,2026-04-13T04:59:40Z,https://i1.sndcdn.com/artworks-8eXzToRHbeIpguvc-QgOcBQ-large.jpg,https://wave.sndcdn.com/L9lsbRa6kl0o_m.json,,,all-rights-reserved,True,all,47,11,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
12,1846326111,soundcloud:tracks:1846326111,Old town in Tokyo / SOUND JOURNEY 240609 - 145147 曳舟お祭り.WAV,https://soundcloud.com/livingroom-tapes/240609-145147-wav,"test upload 
Recorder : H1 essential + Clippy EM272 

240609 - 094144　千住仲町氷川神社.WAV
アートスペース研究の一環で仲町の家に遊びにいきました。朝１０時の待ち合わせまで少し時間がありましたので、ちょうど入口前にあった仲町氷川神社ですこし休憩。池の水音、朝の街音、電車の音等が聞こえます。東京下町の朝のしっとりとした雰囲気に聴き入ります。

240609 - 145147　曳舟お祭り.WAV
TOKENアートセンター高村さんにお話を聞きに曳舟まで行きました。駅東口の上海楼で昼食を食べみんなと別れた後、腹ごなしも兼ねて少し街を歩くことにしました。もう一つのアートスポットの方面に向かって歩いているはずが反対方向にあるいていました。ちょうど町内で行われていたお祭りに遭遇しました。東京下町のお祭りは５月－６月にと少し早めの開催です。むかし、八丁堀にアトリエのあった大学の先生から話があり、町内の水掛け祭り神輿を担いだ若き日の街の匂いを思い出しました。",121025,2:01,2024-06-13T09:22:57Z,2024-06-13T09:22:57Z,2026-06-15T07:40:45Z,https://i1.sndcdn.com/artworks-IVZPrFtffvPQCofo-SB5SXw-large.jpg,https://wave.sndcdn.com/CmfV71tnT7pt_m.json,,,all-rights-reserved,True,all,163,7,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
13,1846335627,soundcloud:tracks:1846335627,Old town in Tokyo / SOUND JOURNEY 240609 - 094144 千住仲町氷川神社.WAV,https://soundcloud.com/livingroom-tapes/240609-094144-wav,"test upload 
Recorder : H1 essential + Clippy EM272 

240609 - 094144　千住仲町氷川神社.WAV
アートスペース研究の一環で仲町の家に遊びにいきました。朝１０時の待ち合わせまで少し時間がありましたので、ちょうど入口前にあった仲町氷川神社ですこし休憩。池の水音、朝の街音、電車の音等が聞こえます。東京下町の朝のしっとりとした雰囲気に聴き入ります。

240609 - 145147　曳舟お祭り.WAV
TOKENアートセンター高村さんにお話を聞きに曳舟まで行きました。駅東口の上海楼で昼食を食べみんなと別れた後、腹ごなしも兼ねて少し街を歩くことにしました。もう一つのアートスポットの方面に向かって歩いているはずが反対方向にあるいていました。ちょうど町内で行われていたお祭りに遭遇しました。東京下町のお祭りは５月－６月にと少し早めの開催です。むかし、八丁堀にアトリエのあった大学の先生から話があり、町内の水掛け祭り神輿を担いだ若き日の街の匂いを思い出しました。",316787,5:16,2024-06-13T09:38:45Z,2024-06-13T09:38:45Z,2026-06-15T07:40:56Z,https://i1.sndcdn.com/artworks-IVZPrFtffvPQCofo-SB5SXw-large.jpg,https://wave.sndcdn.com/Nnn5u08hrRK0_m.json,,,all-rights-reserved,True,all,90,7,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
14,1971504835,soundcloud:tracks:1971504835,窓を開いて 風をまねく（When the openings were open）宮代町進修館大ホール室内2階,https://soundcloud.com/livingroom-tapes/frcs,"241110-160629 大ホール室内2階

宮代町進修館で開催された「窓を開いて 風をまねく（When the openings were open）」イベント時の音源を収録しています。この特別な機会に建物内各所で録音した音源のコレクションです。


※埼玉県宮代町の「コミュニティセンター進修館」で、2024年11月10日に開催されたイベント「窓を開いて 風をまねく（When the openings were open）」は、建築の全窓・建具を開放する特別な展示会であり、象設計集団による設計の魅力を最大化し、自然の風と光を体感する企画です。",314087,5:14,2024-12-02T04:02:30Z,2024-12-02T04:02:30Z,2026-06-15T07:41:11Z,https://i1.sndcdn.com/artworks-HLasYfAOTLLsjiHX-yzRyjg-large.jpg,https://wave.sndcdn.com/zEFJU9ZoNAUI_m.json,,,all-rights-reserved,True,all,23,0,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
15,1971504843,soundcloud:tracks:1971504843,窓を開いて 風をまねく（When the openings were open）宮代町進修館大ホール2階裏テラス,https://soundcloud.com/livingroom-tapes/241110-161230-2s,"241110-161230 大ホール2階裏テラス

宮代町進修館で開催された「窓を開いて 風をまねく（When the openings were open）」イベント時の音源を収録しています。この特別な機会に建物内各所で録音した音源のコレクションです。

※埼玉県宮代町の「コミュニティセンター進修館」で、2024年11月10日に開催されたイベント「窓を開いて 風をまねく（When the openings were open）」は、建築の全窓・建具を開放する特別な展示会であり、象設計集団による設計の魅力を最大化し、自然の風と光を体感する企画です。",314087,5:14,2024-12-02T04:02:30Z,2024-12-02T04:02:30Z,2026-06-15T07:41:28Z,https://i1.sndcdn.com/artworks-zEuIXNrpbZk7jbhp-1NVTtg-large.jpg,https://wave.sndcdn.com/ckDZyI45o9yM_m.json,,,all-rights-reserved,True,all,27,0,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
16,1971504847,soundcloud:tracks:1971504847,窓を開いて 風をまねく（When the openings were open）宮代町進修館 大ホール外-階段,https://soundcloud.com/livingroom-tapes/241110-162002s,"241110-162002 大ホール外-階段

宮代町進修館で開催された「窓を開いて 風をまねく（When the openings were open）」イベント時の音源を収録しています。この特別な機会に建物内各所で録音した音源のコレクションです。

※埼玉県宮代町の「コミュニティセンター進修館」で、2024年11月10日に開催されたイベント「窓を開いて 風をまねく（When the openings were open）」は、建築の全窓・建具を開放する特別な展示会であり、象設計集団による設計の魅力を最大化し、自然の風と光を体感する企画です。",314111,5:14,2024-12-02T04:02:30Z,2024-12-02T04:02:30Z,2026-06-15T07:41:43Z,https://i1.sndcdn.com/artworks-HtyZxVct7qevGDP7-FpyM7A-large.jpg,https://wave.sndcdn.com/P9x98XRAKZlb_m.json,,,all-rights-reserved,True,all,36,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
17,1971504851,soundcloud:tracks:1971504851,窓を開いて 風をまねく（When the openings were open）宮代町進修館中庭へそ-同心円中心,https://soundcloud.com/livingroom-tapes/241110-163007s,"241110-163007 中庭へそ-同心円中心

宮代町進修館で開催された「窓を開いて 風をまねく（When the openings were open）」イベント時の音源を収録しています。この特別な機会に建物内各所で録音した音源のコレクションです。

※埼玉県宮代町の「コミュニティセンター進修館」で、2024年11月10日に開催されたイベント「窓を開いて 風をまねく（When the openings were open）」は、建築の全窓・建具を開放する特別な展示会であり、象設計集団による設計の魅力を最大化し、自然の風と光を体感する企画です。",314111,5:14,2024-12-02T04:02:30Z,2024-12-02T04:02:30Z,2026-06-15T07:42:09Z,https://i1.sndcdn.com/artworks-x9csaQFFw879mHQJ-cu8jzg-large.jpg,https://wave.sndcdn.com/BC1SQi2LMbkl_m.json,,,all-rights-reserved,True,all,25,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
18,1971504859,soundcloud:tracks:1971504859,窓を開いて 風をまねく（When the openings were open）宮代町進修館- 穴（外から）,https://soundcloud.com/livingroom-tapes/241110-163613-1s,"241110-163613 穴（外から） 

宮代町進修館で開催された「窓を開いて 風をまねく（When the openings were open）」イベント時の音源を収録しています。この特別な機会に建物内各所で録音した音源のコレクションです。

  ※埼玉県宮代町の「コミュニティセンター進修館」で、2024年11月10日に開催されたイベント「窓を開いて 風をまねく（When the openings were open）」は、建築の全窓・建具を開放する特別な展示会であり、象設計集団による設計の魅力を最大化し、自然の風と光を体感する企画です。",348071,5:48,2024-12-02T04:02:30Z,2024-12-02T04:02:30Z,2026-06-15T07:42:27Z,https://i1.sndcdn.com/artworks-8yPzGiyVWyyFV0Rk-9AZCYA-large.jpg,https://wave.sndcdn.com/yDdzt3khiYJ2_m.json,,,all-rights-reserved,True,all,30,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
19,1971504863,soundcloud:tracks:1971504863,窓を開いて 風をまねく（When the openings were open）宮代町進修館 中庭から大ホールへの階段,https://soundcloud.com/livingroom-tapes/241110-164356s,"241110-164356 中庭から大ホールへの階段

241110-163613 穴（外から）  宮代町進修館で開催された「窓を開いて 風をまねく（When the openings were open）」イベント時の音源を収録しています。この特別な機会に建物内各所で録音した音源のコレクションです。  ※埼玉県宮代町の「コミュニティセンター進修館」で、2024年11月10日に開催されたイベント「窓を開いて 風をまねく（When the openings were open）」は、建築の全窓・建具を開放する特別な展示会であり、象設計集団による設計の魅力を最大化し、自然の風と光を体感する企画です。",348071,5:48,2024-12-02T04:02:30Z,2024-12-02T04:02:30Z,2026-06-15T07:42:42Z,https://i1.sndcdn.com/artworks-9WKycmBiK1Ky3jYz-oqXKvA-large.jpg,https://wave.sndcdn.com/f9Uho28Ul0sP_m.json,,,all-rights-reserved,True,all,26,1,0,844063195,Livingroom Tapes,https://soundcloud.com/livingroom-tapes
